,Temperatura
15:55:32,20.8
15:55:32,20.8
15:55:32,20.8
15:55:32,20.31
15:55:32,20.8
15:55:32,20.31
15:55:32,20.8
15:55:32,20.8
15:55:32,20.31
15:55:32,20.8
15:55:32,20.8
15:55:32,20.31
15:55:32,20.8
15:55:32,20.8
15:55:32,20.31
15:55:32,20.8
15:55:32,20.8
15:55:32,20.8
15:55:32,20.31
15:55:32,20.8
15:55:32,20.31
15:55:32,20.8
15:55:32,20.8
15:55:32,21.29
15:55:32,20.8
15:55:32,20.8
15:55:32,20.8
15:55:32,20.8
15:55:32,20.8
15:55:32,20.8
15:55:33,20.8
15:55:33,20.8
15:55:33,20.8
15:55:33,20.8
15:55:33,20.8
15:55:33,20.8
15:55:34,20.31
15:55:34,20.8
15:55:34,20.31
15:55:34,20.8
15:55:34,20.8
15:55:35,20.8
15:55:35,20.31
15:55:35,20.31
15:55:35,20.31
15:55:35,20.8
15:55:35,20.31
15:55:36,20.8
15:55:36,19.82
15:55:36,20.8
15:55:36,20.8
15:55:36,21.29
15:55:37,20.31
15:55:37,20.8
15:55:37,20.31
15:55:37,20.31
15:55:37,20.31
15:55:37,20.8
15:55:38,19.82
15:55:38,19.34
15:55:38,20.31
15:55:38,21.29
15:55:38,20.8
15:55:38,20.8
15:55:39,19.82
15:55:39,20.31
15:55:39,20.31
15:55:39,20.8
15:55:39,21.78
15:55:40,20.8
15:55:40,20.8
15:55:40,20.8
15:55:40,20.31
15:55:40,21.29
15:55:40,20.8
15:55:41,20.8
15:55:41,21.29
15:55:41,20.31
15:55:41,21.29
15:55:41,20.31
15:55:42,21.29
15:55:42,21.78
15:55:42,21.78
15:55:42,21.78
15:55:42,21.29
15:55:42,21.29
15:55:43,20.31
15:55:43,20.31
15:55:43,20.31
15:55:43,20.31
15:55:43,20.31
15:55:44,20.31
15:55:44,21.29
15:55:44,20.8
15:55:44,20.31
15:55:44,20.31
15:55:44,21.78
15:55:45,20.8
15:55:45,20.8
15:55:45,21.78
15:55:45,20.8
15:55:45,20.8
15:55:46,19.82
15:55:46,20.8
15:55:46,20.31
15:55:46,20.31
15:55:46,20.8
15:55:46,20.8
15:55:47,21.29
15:55:47,20.8
15:55:47,21.29
15:55:47,21.29
15:55:47,20.8
15:55:48,21.29
15:55:48,21.29
15:55:48,20.8
15:55:48,19.82
15:55:48,20.8
15:55:48,20.8
15:55:49,20.31
15:55:49,20.8
15:55:49,20.8
15:55:49,20.8
15:55:49,21.29
15:55:50,20.31
15:55:50,20.8
15:55:50,21.29
15:55:50,21.29
15:55:50,20.31
15:55:50,21.29
15:55:51,19.34
15:55:51,20.31
15:55:51,20.8
15:55:51,20.8
15:55:51,21.29
15:55:51,20.8
15:55:52,19.82
15:55:52,20.8
15:55:52,20.31
15:55:52,20.8
15:55:52,18.85
15:55:53,19.82
15:55:53,19.82
15:55:53,20.31
15:55:53,20.8
15:55:53,19.34
15:55:53,19.34
15:55:54,20.8
15:55:54,19.82
15:55:54,20.31
15:55:54,20.8
15:55:54,20.31
15:55:55,20.31
15:55:55,19.82
15:55:55,20.8
15:55:55,20.8
15:55:55,20.31
15:55:55,20.8
15:55:56,20.31
15:55:56,20.8
15:55:56,21.29
15:55:56,20.31
15:55:56,20.31
15:55:57,20.8
15:55:57,19.82
15:55:57,21.29
15:55:57,20.8
15:55:57,20.8
15:55:57,20.8
15:55:58,20.31
15:55:58,20.31
15:55:58,20.31
15:55:58,20.8
15:55:58,20.31
15:55:59,20.8
15:55:59,20.31
15:55:59,20.8
15:55:59,21.29
15:55:59,20.8
15:55:59,20.8
15:56:00,20.31
15:56:00,20.8
15:56:00,20.31
15:56:00,20.8
15:56:00,20.31
15:56:01,20.31
15:56:01,21.29
15:56:01,21.78
15:56:01,21.29
15:56:01,20.8
15:56:01,21.29
15:56:02,21.29
15:56:02,21.78
15:56:02,21.78
15:56:02,20.31
15:56:02,20.8
15:56:02,20.8
15:56:03,21.29
15:56:03,21.29
15:56:03,20.8
15:56:03,20.8
15:56:03,21.29
15:56:04,20.31
15:56:04,21.29
15:56:04,20.8
15:56:04,21.29
15:56:04,20.8
15:56:04,20.31
15:56:05,20.8
15:56:05,20.8
15:56:05,20.8
15:56:05,21.29
15:56:05,19.82
15:56:06,20.8
15:56:06,21.29
15:56:06,21.29
15:56:06,21.29
15:56:06,19.82
15:56:06,19.82
15:56:07,20.8
15:56:07,20.8
15:56:07,20.8
15:56:07,20.8
15:56:07,20.31
15:56:08,20.8
15:56:08,20.8
15:56:08,21.29
15:56:08,21.29
15:56:08,21.29
15:56:08,20.8
15:56:09,20.8
15:56:09,20.31
15:56:09,21.29
15:56:09,20.31
15:56:09,21.29
15:56:10,20.31
15:56:10,20.8
15:56:10,21.29
15:56:10,20.8
15:56:10,20.31
15:56:10,20.31
15:56:11,-46.0
15:56:11,17.87
15:56:11,18.85
15:56:11,17.87
15:56:11,18.36
15:56:12,19.34
15:56:12,19.34
15:56:12,20.31
15:56:12,19.34
15:56:12,21.29
15:56:12,21.78
15:56:13,22.27
15:56:13,22.27
15:56:13,22.27
15:56:13,22.75
15:56:13,23.24
15:56:13,23.24
15:56:14,23.73
15:56:14,23.73
15:56:14,24.22
15:56:14,24.22
15:56:14,24.71
15:56:15,24.22
15:56:15,23.73
15:56:15,23.73
15:56:15,24.22
15:56:15,25.2
15:56:15,25.2
15:56:16,25.2
15:56:16,25.68
15:56:16,24.71
15:56:16,26.17
15:56:16,26.17
15:56:17,25.2
15:56:17,26.17
15:56:17,24.71
15:56:17,25.68
15:56:17,24.71
15:56:17,25.68
15:56:18,25.2
15:56:18,25.2
15:56:18,24.71
15:56:18,26.17
15:56:18,25.68
15:56:19,25.68
15:56:19,24.22
15:56:19,26.17
15:56:19,25.2
15:56:19,25.2
15:56:19,26.17
15:56:20,26.66
15:56:20,25.68
15:56:20,26.17
15:56:20,25.68
15:56:20,25.2
15:56:21,26.66
15:56:21,26.66
15:56:21,25.68
15:56:21,25.68
15:56:21,25.68
15:56:21,26.66
15:56:22,27.64
15:56:22,27.15
15:56:22,25.68
15:56:22,26.66
15:56:22,26.66
15:56:23,27.64
15:56:23,25.68
15:56:23,25.2
15:56:23,25.2
15:56:23,26.17
15:56:23,27.64
15:56:24,27.64
15:56:24,26.17
15:56:24,27.15
15:56:24,27.15
15:56:24,26.66
15:56:25,26.66
15:56:25,27.64
15:56:25,26.17
15:56:25,27.15
15:56:25,27.64
15:56:25,26.17
15:56:26,27.15
15:56:26,26.66
15:56:26,26.66
15:56:26,26.17
15:56:26,27.64
15:56:26,28.12
15:56:27,26.17
15:56:27,27.15
15:56:27,27.64
15:56:27,27.64
15:56:27,26.66
15:56:28,26.66
15:56:28,25.2
15:56:28,27.15
15:56:28,28.12
15:56:28,27.64
15:56:28,27.15
15:56:29,26.66
15:56:29,25.68
15:56:29,27.15
15:56:29,28.12
15:56:29,27.15
15:56:30,27.15
15:56:30,26.17
15:56:30,28.12
15:56:30,27.15
15:56:30,26.66
15:56:30,27.64
15:56:31,27.15
15:56:31,26.66
15:56:31,28.12
15:56:31,28.12
15:56:31,27.15
15:56:32,28.12
15:56:32,27.64
